Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2, C3, C4, C5, C6",0805,6,0.1uF,C49678
D1,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,1,WS2812B,
"D2, D3, D4",LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,3,WS2812B,C4154882
H1,MountingHole_2.7mm_M2.5,1,Top Left Mounting Hole,
H2,MountingHole_2.7mm_M2.5,1,Bottom Left Mounting Hole,
H3,MountingHole_2.7mm_M2.5,1,Top Right Mounting Hole,
H4,MountingHole_2.7mm_M2.5,1,Bottom Right Mounting Hole,
J1,PinHeader_1x08_P2.54mm_Horizontal,1,Left Pin Header,C492416
J2,PinHeader_1x08_P2.54mm_Horizontal,1,Right Pin Header,C492416
J3,PinHeader_1x02_P2.54mm_Horizontal,1,Top Pin Header,C492410
J4,PinHeader_1x02_P2.54mm_Horizontal,1,Bottom Pin Header,C492410
JP1,SolderJumper-2_P1.3mm_Open_TrianglePad1.0x1.5mm,1,Start Row 1,
JP2,SolderJumper-2_P1.3mm_Open_TrianglePad1.0x1.5mm,1,Start Column 1,
JP3,SolderJumper-2_P1.3mm_Open_TrianglePad1.0x1.5mm,1,Start Column 2,
JP4,SolderJumper-2_P1.3mm_Open_TrianglePad1.0x1.5mm,1,Start Row 2,
"R1, R2, R3, R4",0805,4,10K,C100047
"U1, U2, U3, U4",SOT-23,4,DRV5033FAQDBZR,C2655029
"U5, U6",SOIC-14_3.9x8.7mm_P1.27mm,2,CD74HCT11,C7643
